"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.01,0.0270292514241946,-1.56816598193144
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.015,0.0223216557040588,-1.65127359483896
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.02,0.029047042852029,-1.53689807457888
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.025,0.0440456323876287,-1.35609715022571
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.03,0.0653388265918691,-1.18482866920634
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.035,0.0917100204085244,-1.0375832099093
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.04,0.122449640037871,-0.912042487221962
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.045,0.157189144403685,-0.803577449952895
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.05,0.195787231778151,-0.708215634029827
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.055,0.238249036630837,-0.622968846772564
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.06,0.284667568732678,-0.545662007818701
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.065,0.335180957992981,-0.474720662098675
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.07,0.389941381523237,-0.409000673984732
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.075,0.449092858613557,-0.347663850947939
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.08,0.51275588381486,-0.290089347451717
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.01,0.0264388006650202,-1.57775824950324
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.015,0.0160647092029329,-1.79412713146974
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.02,0.0181969901535495,-1.7400004399162
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.025,0.0293926194707875,-1.53176170787041
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.03,0.0474488593327993,-1.32377422351963
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.035,0.0709667256791765,-1.14894523214282
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.04,0.0990874765385115,-1.00398123162883
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.045,0.131321582658471,-0.881663891890774
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.05,0.167431348356795,-0.776163225292747
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.055,0.207347129918571,-0.683301971725831
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.06,0.251106073609019,-0.600142782695354
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.065,0.29880682241461,-0.52460949084863
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.07,0.35057604420924,-0.455217763721946
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.075,0.406543977784175,-0.390892467841315
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.08,0.466826986750046,-0.330844045818919
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.01,0.029722968645848,-1.52690781664349
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.015,0.0134277775527983,-1.87199586197216
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.02,0.0107242487110262,-1.96963312264759
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.025,0.0179035329669511,-1.74706125970991
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.03,0.032550269923419,-1.48744540568979
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.035,0.0530901848318262,-1.27498576267349
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.04,0.0785190983391959,-1.10502469619073
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.045,0.108227670204266,-0.965661690424277
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.05,0.141881066967056,-0.848075554227707
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.055,0.179332715463856,-0.746340475360522
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.06,0.220560760984995,-0.656471748484556
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.065,0.265620579556038,-0.575738280051805
