"Pair","Param1","Param2","Param1Value","Param2Value","TrueMu"
"a_vs_b","a","b",0.5,4,0.0308274444218309
"a_vs_b","a","b",0.5,3.75,0.0359140571220326
"a_vs_b","a","b",0.5,3.5,0.0423367124819469
"a_vs_b","a","b",0.5,3.25,0.0505303481697316
"delta_max_vs_a","delta_max","a",0.01,0.5,0.0545442363913289
"a_vs_b","a","b",0.5,3,0.0610919056609065
"gamma_max_vs_b","gamma_max","b",0.1,4,0.0612400927391952
"gamma_max_vs_b","gamma_max","b",0.1,3.75,0.0695760653875986
"gamma_max_vs_b","gamma_max","b",0.114285714285714,4,0.0730331219580943
"gamma_max_vs_a","gamma_max","a",0.1,0.5,0.0736118252712305
"a_vs_b","a","b",0.5,2.75,0.0748451320915162
"delta_max_vs_b","delta_max","b",0.01,4,0.076374345598774
"gamma_max_vs_b","gamma_max","b",0.1,3.5,0.0797608115059111
"delta_max_vs_a","delta_max","a",0.015,0.5,0.0798337496395448
"delta_max_vs_b","delta_max","b",0.01,3.75,0.0812908698284074
"gamma_max_vs_a","gamma_max","a",0.114285714285714,0.5,0.0818094269059748
"gamma_max_vs_b","gamma_max","b",0.114285714285714,3.75,0.082143123780913
"gamma_max_vs_delta_max","gamma_max","delta_max",0.1,0.01,0.0840776891664504
"gamma_max_vs_b","gamma_max","b",0.128571428571429,4,0.0865174936121829
"delta_max_vs_b","delta_max","b",0.01,3.5,0.0870396668360214
"E_star_vs_b","E_star","b",1000,4,0.0882039557329867
"gamma_max_vs_a","gamma_max","a",0.128571428571429,0.5,0.0907903914228822
"E_star_vs_a","E_star","a",1000,0.5,0.0919776981431827
"gamma_max_vs_delta_max","gamma_max","delta_max",0.114285714285714,0.01,0.092204635771275
"gamma_max_vs_b","gamma_max","b",0.1,3.25,0.0922986172632071
"a_vs_b","a","b",0.5,2.5,0.0929312992822968
"gamma_max_vs_b","gamma_max","b",0.114285714285714,3.5,0.0931772828323557
"delta_max_vs_b","delta_max","b",0.01,3.25,0.093803354822714
"a_vs_b","a","b",0.75,4,0.0943526512826395
"E_star_vs_b","E_star","b",935.714285714286,4,0.0947372099453469
"E_star_vs_a","E_star","a",935.714285714286,0.5,0.0961984577099424
"gamma_max_vs_b","gamma_max","b",0.128571428571429,3.75,0.0963928140908033
"E_star_vs_b","E_star","b",1000,3.75,0.0981853479745778
"gamma_max_vs_a","gamma_max","a",0.142857142857143,0.5,0.10060271739686
"gamma_max_vs_delta_max","gamma_max","delta_max",0.128571428571429,0.01,0.100913015147933
"E_star_vs_a","E_star","a",871.428571428572,0.5,0.101013614777086
"gamma_max_vs_b","gamma_max","b",0.142857142857143,4,0.101803997564277
"delta_max_vs_b","delta_max","b",0.01,3,0.101811761113807
"delta_max_vs_E_star","delta_max","E_star",0.01,1000,0.102073228163221
"E_star_vs_b","E_star","b",871.428571428572,4,0.102308737211687
"delta_max_vs_a","delta_max","a",0.01,0.75,0.102882620510004
"delta_max_vs_a","delta_max","a",0.02,0.5,0.103952981800544
"a_vs_b","a","b",0.75,3.75,0.104166508471256
"E_star_vs_b","E_star","b",935.714285714286,3.75,0.105045620970545
"delta_max_vs_E_star","delta_max","E_star",0.01,935.714285714286,0.106090241913299
"E_star_vs_a","E_star","a",807.142857142857,0.5,0.106544814173162
"gamma_max_vs_b","gamma_max","b",0.114285714285714,3.25,0.106639222877878
"delta_max_vs_b","delta_max","b",0.015,4,0.107624989667148
"gamma_max_vs_b","gamma_max","b",0.1,3,0.107848870217762
"gamma_max_vs_b","gamma_max","b",0.128571428571429,3.5,0.108256608214085
"E_star_vs_b","E_star","b",1000,3.5,0.110164387129585
"gamma_max_vs_delta_max","gamma_max","delta_max",0.142857142857143,0.01,0.110213143909861
